scenario_id,data_type,model_class,model_params_b,precision,execution_mode,node_a_gpu,node_b_gpu,total_ram_gb,total_vram_gb,usable_vram_gb,estimated_model_runtime_gb,feasibility,partition_or_offload_plan,estimated_ttft_sec,estimated_tps,estimated_ptgt_ms,estimated_100_token_time_sec,estimated_avg_power_w,estimated_energy_per_100_tokens_wh,estimated_peak_primary_vram_gb,estimated_primary_vram_pressure_pct,estimated_network_overhead_ms_per_token,estimated_efficiency_gain_vs_single_node_pct,confidence,code_basis,notes
S01,projected_assumption,7B,7,FP16,single_node_rtx3050ti,RTX 3050 Ti 4GB,not_used,16,4,3.5,16.8,not_feasible,model exceeds usable VRAM and no quantized/offload path selected,,,,,,,,,,high,"resource_detector usable VRAM rule; auto_partitioner 20pct overhead","FP16 7B cannot fit into 4GB-class laptop GPU."
S02,projected_assumption,7B,7,INT4+offload,single_node_rtx3050ti_offload,RTX 3050 Ti 4GB,not_used,16,4,3.5,5.8,feasible_slow,"about 60pct weights active/offloaded through GPU+RAM+disk",18.0,1.35,741,74.1,58,1.19,3.7,106,0,0,medium,"tiered_weight_manager; prefetch_engine; generation loop","Short demo feasible; heavy offload causes high TTFT."
S03,projected_assumption,7B,7,INT4+offload,kai_two_node_nvidia_gpu_pipeline,RTX 3050 Ti 4GB,GTX 1080 class 2GB,32,6,5.0,5.8,feasible,"layer split approx 70pct RTX3050Ti / 30pct GTX1080 by usable VRAM; offload for overflow",14.5,1.82,549,54.9,88,1.34,3.1,89,28,35,medium,"auto_partitioner proportional memory; gateway gRPC chain; resource_detector","Projected memory pressure reduction offsets gRPC/network overhead for 7B."
S04,projected_assumption,7B,7,INT4+offload,kai_two_node_cpu_heterogeneous,RTX 3050 Ti 4GB,AMD_or_CPU_worker,32,4,3.5,5.8,feasible_slow,"primary GPU plus CPU/RAM worker; deploy with --cpu-only for Kubernetes orchestration",24.0,0.42,2381,238.1,72,4.76,2.8,80,45,-69,medium,"kubernetes/controller.py --cpu-only; chunk_server DEVICE=cpu","Good orchestration demo, not a speedup path."
S05,projected_assumption,13B,13,FP16,single_node_rtx3050ti,RTX 3050 Ti 4GB,not_used,16,4,3.5,31.2,not_feasible,model exceeds usable VRAM and RAM comfort without aggressive offload,,,,,,,,,,high,"resource_detector usable VRAM rule; auto_partitioner 20pct overhead","FP16 13B is outside this hardware class."
S06,projected_assumption,13B,13,INT4+offload,single_node_rtx3050ti_offload,RTX 3050 Ti 4GB,not_used,16,4,3.5,10.5,marginal,"large CPU/RAM/disk offload; only short generation practical",55.0,0.38,2632,263.2,63,4.61,3.9,111,0,0,low,"tiered_weight_manager; prefetch_engine","May run short prompts but user experience will be slow."
S07,projected_assumption,13B,13,INT4+offload,kai_two_node_nvidia_gpu_pipeline,RTX 3050 Ti 4GB,GTX 1080 class 2GB,32,6,5.0,10.5,marginal_research,"small active layer windows on both GPUs; remaining weights in RAM/disk; 1GbE transfer penalty",42.0,0.67,1493,149.3,96,3.98,3.4,97,55,76,low,"auto_partitioner; gateway serialization; tiered_weight_manager","Projected as research-feasible, not production-fast."
S08,projected_assumption,13B,13,INT4+offload,kai_two_node_cpu_heterogeneous,RTX 3050 Ti 4GB,AMD_or_CPU_worker,32,4,3.5,10.5,marginal_very_slow,"Kubernetes --cpu-only or mixed CPU orchestration; no AMD GPU acceleration",70.0,0.18,5556,555.6,78,12.04,3.2,91,70,-53,low,"kubernetes/controller.py --cpu-only; chunk_server DEVICE=cpu","Useful only to demonstrate scheduling/offload, not latency performance."
S09,projected_assumption,7B,7,INT8+offload,kai_two_node_nvidia_gpu_pipeline,RTX 3050 Ti 4GB,GTX 1080 class 2GB,32,6,5.0,8.9,marginal,"INT8 weight footprint exceeds combined VRAM; offload required",22.0,0.95,1053,105.3,92,2.69,3.6,103,38,12,low,"auto_partitioner; tiered_weight_manager","INT4 is preferred over INT8 for this hardware."
S10,projected_assumption,13B,13,INT8+offload,kai_two_node_nvidia_gpu_pipeline,RTX 3050 Ti 4GB,GTX 1080 class 2GB,32,6,5.0,16.4,not_recommended,"INT8 footprint creates too much RAM/disk traffic",95.0,0.12,8333,833.3,100,23.15,3.9,111,95,-68,low,"tiered_weight_manager; gateway gRPC overhead","Use INT4 or smaller model."
